comments
"
🌷🌷🌷"
"
🌹🌹🌹"
"
♥️♥️♥️"
"
🌷🌷🌷"
"
🌹🌹🌹"
"
🥀🥀🥀"
"
অভিনন্দন কবি দাদা...💞"
"
অসাধারণ অনুষ্ঠান ।। মাতৃভূমিকে নিয়ে সঙ্গীত ও দেশকে সন্মান জানানো গর্বের বিষয় ।। 🙏🙏
অমৃতার উপস্থাপনা খুব ভালো ও সঙ্গীত পরিবেশন অসাধারণ ।।"
"
Kecu manus er pet chulok ei jinista chan na apne bujjchi....😁😁"
"
ওদেরকেতো সুযোগ দিলাম।"
"
Tasneem Khalil sujug kmne kaje lagabe?..🙄🙄
Je condition apner...🙄"
"
একটুতো খাটতে হবে।"
"
Tasneem Khalil 50 tk. Dolar or Euro na...😉😉
Eto khatni...😁"
"
Hahaha"
"
Vai, Is it from the rules of the constitution that these rules have been made otherwise This illegal government will file a case against the state😭"
"
বটদের সুপারভাইজার’রাও এখন বেশ সক্রিয়, গতকাল আমার প্রোফাইলে এসে রীতিমত গালি দেয়া শুরু করেছিলো, আমাকে বলে পারলে ওরে যেন খুঁজে বের করি, পরে ওর ফোন নং বের করে WhatsApp এ text করার পর দেখি ওস্তাদ বেশ থতমত হয়ে গেলো, ছবি বের করে যখন পাবলিক করলাম তখন সে সিধা হলো, বিশাল জ্ঞানী ভাবের উপর জুৎ মত গদাম পড়ায় একদম সিধা হয়ে গেছে।"
"
আপনার ভাষা ঠিক করা উ‌চিত।"
"
ভাই এই ২০ টাকা ৫০ টাকার কমেন্টের একটা চাকরি আমি ও চাই। আমি কিন্তু আপনাগো বিরুদ্ধে সেই লেভেলের কমেন্ট করতে পারবো।"
"
আপনার আদর্শ নিয়ে আমার তেমন কোন মাথাব্যথা নাই।কিন্তু আপনার লেভেলের কারণে আপনার কাছে আমার একটা অনুরোধ আছে।আর সেটা হলো- বাংলাদেশের যুদ্ধাপরাধ মামলা,রায়,ফাঁসি,নিজ দলের হলে না ধরা, অন্যদলের হলে ফাঁসিতে ঝুলানো ইত্যাদি বিষয়ে আপনার নিরপেক্ষ গঠনমূলক ধারাবাহিক লিখনি চাই।সেখানে ভিকটিম আপনার মতাদর্শের না হলেও, আপনি নিরপেক্ষতা বজায় রাখবেন বলে আমার বিশ্বাস।আর আমি বিশ্বাস করি,আপনি যদি গবেষণা করেন,অবশ্যই আপনি নিরপেক্ষ একটি রিপোর্ট করতে পারবেন।"
"
দাদো আমার প্রোফাইল টা একটু দেখে আসো, ৯৯% রিয়েল, ডিজিএফআই বট ভাইবা বূল কলিও না"
"
হাহাহা"
"
ব্লক না করে রিপোর্ট দিয়ে দেন।"
"
ভারতের বিরুদ্ধে কমেন্ট করলে আইডিতে স্যাংশন দিয়ে দেয়,"
"
Gazi Maqsud ভারতে বসিয়া পাকিস্তানের গুনগান করবেন সেটা তো মানবো না।"
"
Ahamed Moin আমি অর্জেনিয়াল একজন বাংলাদেশী, আপনি না যেনে কোন কথা বলবেন না,"
"
Gazi Maqsud আপনি হয়তো আমার কথাটা বুঝতে পারেননি।"
"
Ahamed Moin আপনি হয়তো বুঝাইতে পারেননি"
"
শুভ কামনা রইল"
"
শুভ কামনা"
